artigoEmPeriodico	Iara Augustin	2013		Sistema Pervasivo de Informação em Saúde Projetado para ser Programado pelo Usuário Clínico	Revista de Informática Teórica e Aplicada: RITA	Machado. A ; AUGUSTIN, I.	B4	
artigoEmPeriodico	Iara Augustin	2013	http://dx.doi.org/10.5335/rbca.2013.2586	Uma definição ontológica de elementos de contexto relevantes na adaptação de documentos em ambientes hospitalares pervasivos	Revista Brasileira de Computação Aplicada	MARAN, VINÍCIUS ; AUGUSTIN, IARA ; LIBRELOTTO, GIOVANI RUBERT ; SACCOL, DEISE DE BRUM	B5	
artigoEmPeriodico	Iara Augustin	2013		Computação Ubíqua: a terceira onda da computação	Revista Fontes	AUGUSTIN, I.	Qualis nao identificado	Revista Fontes
artigoEmPeriodico	Iara Augustin	2012		Uma Ontologia para um Sistema de Recomendação de Materiais Didáticos em Educação a Distância Sensível ao Estado Afetivo do Aluno	Revista do CCEI	PEREIRA, A. ; FACCIN, L. F. ; LIBRELOTTO, Giovani R. ; Librelotto, G.R. ; AUGUSTIN, I.	B5	
artigoEmPeriodico	Iara Augustin	2011		O impacto da Web 3.0 nas políticas de controle de acesso a internet	Revista do CCEI	MACEDO, R. T. ; FIORIN, A. ; LIBRELOTTO, Giovani R. ; LIBRELOTTO, Giovani R. ; AUGUSTIN, I. ; NUNES, R. C.	B5	
artigoEmPeriodico	Iara Augustin	2010		PEHS Arquitetura de um Sistema de Informação Pervasivo para Auxílio às Atividades Clínicas	Revista Brasileira de Computação Aplicada	VICENTINI, Caroline F. ; MACHADO, A. ; AUGUSTIN, I.	B5	
artigoEmPeriodico	Iara Augustin	2009		Geração de Topic Maps Dirigidos por Ontologias para a Computação Sensível ao Contexto	Revista do CCEI	Librelotto, G. R. ; GASSEN, J. B. ; FREITAS, L. ; AUGUSTIN, I.	B5	
artigoEmPeriodico	Iara Augustin	2009		Aplicando o OntoHealth para o Processamento e Consultas de Ontologias para Ambientes Hospitalares Pervasivos	iSys: Revista Brasileira de Sistemas de Informação	Librelotto, G. R. ; GASSEN, J. B. ; VIZZOTTO, J. K. ; AUGUSTIN, I.	B3	
artigoEmPeriodico	Iara Augustin	2008		Emprego de Código de Barras Bidimensionais para Conferência da Autenticidade de Certificados Digitais	Disciplinarum Scientia. Série Ciências Exatas	AUGUSTIN, I. ; VICENTINI, Caroline F. ; AVELAR, Francisco Tiago ; LIMA, João Carlos Damasceno	C	Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas
artigoEmPeriodico	Iara Augustin	2008		Projeto CONVERGE UFSM: Rede de Sensores-Atuadores para Controle de Acesso em Laboratórios Usando VoIP e Rede Sem Fio	Disciplinarum Scientia. Série Ciências Exatas	ROCHA, Cristiano Cortez da ; VIERA, Matheus Anversa ; OLIVEIRA, Rodolfo Leffa ; STEIN, Benhur Oliveira ; AUGUSTIN, I. ; LIMA, João Carlos Damasceno	C	Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas
artigoEmPeriodico	Iara Augustin	2008		Uma Ferramenta para o Processamento da Representação do Domínio de Atividades Médicas	Hífen (Uruguaiana)	LIBRELOTTO, Giovani R. ; FREITAS, L. O. ; GASSEN, J. B. ; SILVEIRA, M. C. ; TURCHETTI, Rogério Correa ; SILVA, F. L. ; AUGUSTIN, I.	C	Hífen (Uruguaiana. Online)
artigoEmPeriodico	Iara Augustin	2008		Projeto CONVERGE UFSM: Rede de Sensores-Atuadores para Controle de Acesso em Laboratórios Usando VoIP e Rede Sem Fio.	Disciplinarum Scientia. Série Ciências Exatas (Cessou em 2001. Cont. 1981-2841 Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas)	ROCHA, C. C. ; VIERA, Matheus Anversa ; VIERA, Matheus Anversa ; OLIVEIRA, R. L. ; STEIN, B. O. ; AUGUSTIN, I. ; LIMA, J. C. D.	C	Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas
artigoEmPeriodico	Iara Augustin	2006		ISAMadapt: Abstractions and Tools for Designing General-Purpose Pervasive Applications	Software Practice Experience Special Issue	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; SILVA, Luciano Cavalheiro da ; REAL, Rodrigo Araujo ; FRAINER, Gustavo ; GEYER, Cláudio F Resin	Qualis nao identificado	Software Practice Experience Special Issue
artigoEmPeriodico	Iara Augustin	2005		ISAM - a Software Architecture for Pervasive Computing	Clei Electronic Journal	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; BARBOSA, Jorge V ; GEYER, Cláudio Resin	B5	CLEI Electronic Journal
artigoEmPeriodico	Iara Augustin	2003		Towards Merging Context-aware, Mobile and Grid Computing	Journal Of High Performance Computing Application, London	YAMIN, Adenauer ; AUGUSTIN, I. ; BARBOSA, Jorge V ; SILVA, Luciano Cavalheiro ; REAL, R. ; GEYER, Cláudio F Resin	Qualis nao identificado	Journal Of High Performance Computing Application, London
artigoEmPeriodico	Iara Augustin	2003		EXEHDA: um ambiente de execução para adaptação dinâmica ao contexto de aplicações na pervasive computing	Cadernos de Informática (UFRGS), Porto Alegre	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; SILVA, Luciano Cavalheiro da ; REAL, Rodrigo Araujo ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	C	Cadernos de Informática (UFRGS)
artigoEmPeriodico	Iara Augustin	2003		ISAMadapt: ambiente de desenvolvimento de aplicações para o paradigma da pervasive computing.	Cadernos de Informática (UFRGS), Porto Alegre	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; SILVA, Luciano Cavalheiro da ; REAL, Rodrigo Araujo ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	C	Cadernos de Informática (UFRGS)
artigoEmPeriodico	Iara Augustin	2001		ISAM, um Middleware para Aplicações Móveis Distribuídas	Rita Revista de Informática Teórica e Aplicada, Porto Alegre, RS	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; BARBOSA, Jorge V ; CAVALHEIRO, G. H.	B4	Revista de Informática Teórica e Aplicada: RITA
trabalhoCompletoEmCongresso	Iara Augustin	2013	http://dx.doi.org/10.5772/37125	A middleware to infer the risk level of an activity in context-aware environments using the SRK model	UBICOMM	FABRO NETO, A. ; BOUFLEUR, R. ; Azevedo, B. R. ; LIMA, João Carlos Damasceno ; AUGUSTIN, I.	B3	
trabalhoCompletoEmCongresso	Iara Augustin	2013		Uma Arquitetura Móvel para Auxílio às Atividades do Programa de Agentes Comunitários De Saúde do SUS	II Simpósio Brasileiro de Tecnologia da Informação (SBTI)	Maran, V. ; PAZ, L. F. ; MACHADO, A. ; BOUFLEUR, R. ; AUGUSTIN, I.	Qualis nao identificado	II Simpósio Brasileiro de Tecnologia da Informação (SBTI)
trabalhoCompletoEmCongresso	Iara Augustin	2013	http://dx.doi.org/10.5220/0004418004180426	Situation-awareness as a Key for Proactive Actions in Ambient Assisted Living	15th International Conference on Enterprise Information Systems	MACHADO, A. ; AUGUSTIN, IARA ; PERNAS, A. M. ; WIVES, L. K. ; OLIVEIRA, J. P. M.	B1	International Conference on Enterprise Information Systems
trabalhoCompletoEmCongresso	Iara Augustin	2012		A Service for ClinicSpace Architecture to Provide Context Data Persistence and Context-Based Selection of Documents	CSBC 2012 - Seminário de Software e Hardware (SEMISH)	Maran, V. ; SACCOL, D. B. ; AUGUSTIN, I.	B4	SEMISH
trabalhoCompletoEmCongresso	Iara Augustin	2012		Uma Arquitetura de Armazenamento de Informações de Contexto para Aplicações Ubíquas	CSBC 2012 - IV Simpósio Brasileiro de Computação Ubíqua e Pervasiva (SBCUP)	Maran, V. ; SACCOL, D. B. ; AUGUSTIN, I.	B5	Simpósio Brasileiro de Computação Ubíqua e Pervasiva
trabalhoCompletoEmCongresso	Iara Augustin	2011		A2BeST: An Adaptive Authentication Service Based on Mobile User's Behavior and Spatio-Temporal Context	IEEE International Symposium on Computer and Communications	ROCHA, Cristiano Cortez da ; LIMA, João Carlos Damasceno ; AUGUSTIN, I. ; DANTAS, M.	A2	IEEE Symposium on Computers and Communications
trabalhoCompletoEmCongresso	Iara Augustin	2011		Associando Contexto às Tarefas Clínicas na Arquitetura ClinicSpace	VII Simpósio Brasileiro de Sistemas de Informação (SBSI)	MACHADO, A. ; AUGUSTIN, I.	B4	Simpósio Brasileiro de Sistemas de Informação
trabalhoCompletoEmCongresso	Iara Augustin	2011		Um Framework para o Gerenciamento de Aplicações Direcionadas à Medicina Ubíqua	III Simpósio Brasileiro de Computação Ubíqua e Pervasiva (SBCUP)	Rodrigues, S. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	B5	Simpósio Brasileiro de Computação Ubíqua e Pervasiva
trabalhoCompletoEmCongresso	Iara Augustin	2011		Suporte à Colaboração em uma Infraestrutura Computacional Pervasiva para Auxílio às Atividades Clínicas	III Simpósio Brasileiro de Computação Ubíqua e Pervasiva (SBCUP)	KROTH, M. ; MACHADO, A. ; AUGUSTIN, I.	B5	Simpósio Brasileiro de Computação Ubíqua e Pervasiva
trabalhoCompletoEmCongresso	Iara Augustin	2011		CARS-AD: a context-aware recommender system to decide about implicit or explicit authentication in UbiHealth	MOBIWAC 2011	LIMA, João Carlos Damasceno ; ROCHA, Cristiano Cortez da ; AUGUSTIN, I. ; DANTAS, M.	Qualis nao identificado	MOBIWAC 2011
trabalhoCompletoEmCongresso	Iara Augustin	2011		Um Serviço de Persistência de Contexto e Seleção Contextualizada de Documentos para a Arquitetura ClinicSpace	XXXVII Conferencia Latinoamericana de Informática (CLEI)	Maran, V. ; MACHADO, A. ; SACCOL, D. B. ; AUGUSTIN, I.	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2011		A context-Aware Recommendation System to Behavioral Based Authentication in Mobile and Pervasive Environment	IFIP IEEE 9th International Conference on Embedded and Ubiquitous Computing	LIMA, João Carlos Damasceno ; ROCHA, Cristiano Cortez da ; AUGUSTIN, I. ; DANTAS, M.	B2	IFIP International Conference on Embedded and Ubiquitous Computing
trabalhoCompletoEmCongresso	Iara Augustin	2011		Um servico de persistencia e selecao contextualizada de documentos para a arquitetura ClinicSpaces	XXXVII Conferencia Latinoamericada de Informatica (CLEI)	Maran, V. ; MACHADO, A. ; SACCOL, D. B. ; AUGUSTIN, I.	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2011		Adding context data persistence based on ontologies in an ubiquitous healthcare architecture	IADIS International Conference WWW-Internet	Maran, V. ; MACHADO, A. ; SACCOL, D. B. ; AUGUSTIN, I.	B2	International Conference WWW/Internet
trabalhoCompletoEmCongresso	Iara Augustin	2010		A user-Centric Authentication for Advanced Resource Reservation in Mobile Grid Environments	International Conference on Grid Computing and Applications	VIERA, Matheus Anversa ; ROCHA, Cristiano Cortez da ; AUGUSTIN, I. ; DANTAS, M.	B4	
trabalhoCompletoEmCongresso	Iara Augustin	2010		A Context-Aware Authentication Approach Based on Behavioral Definitions	2010 International Conference on Information and Knowledge Engineering	VIERA, Matheus Anversa ; ROCHA, Cristiano Cortez da ; AUGUSTIN, I. ; DANTAS, M.	B4	International Conference on Information and Knowledge Engineering
trabalhoCompletoEmCongresso	Iara Augustin	2010		Inferência de Atividades Clínicas a partir de Propriedades do Contexto	Workshop em Informática Médica - Congresso SBC	SOUZA, M. V. ; AUGUSTIN, I.	Qualis nao identificado	Workshop em Informática Médica - Congresso SBC
trabalhoCompletoEmCongresso	Iara Augustin	2010		Ferramenta para Definição de Contexto pelo Usuário-Final na Programação de Tarefas Clínicas em um Sistema de Saúde Pervasivo	II Simposio Brasileiro em Computação Ubíqua e Pervasiva	MACHADO, A. ; Librelotto, G. R. ; AUGUSTIN, I.	B5	Simpósio Brasileiro de Computação Ubíqua e Pervasiva
trabalhoCompletoEmCongresso	Iara Augustin	2010		Applying a middleware for pervasive environment to manage end-user programming of clinical activities	The Fourth International Conference on Mobile Ubiquitous Computing	FERREIRA, Giuliano Lopes ; LORENZI, Fabio ; RIZZETTI, Thiago Antionio ; Librelotto, G. R. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	A1	International Conference on Ubiquitous Computing
trabalhoCompletoEmCongresso	Iara Augustin	2010		Explorando o Processamento Semântico para Sensibilidade ao Contexto na Computação em Grade	Conferencia Latino Americana de Computación de Alto Rendimiento	Rodrigues, S. ; LOPES, João Ladislau ; GEYER, C. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	Qualis nao identificado	Conferencia Latino Americana de Computación de Alto Rendimiento
trabalhoCompletoEmCongresso	Iara Augustin	2010		Um Mecanismo para Sensibilidade ao Contexto com Suporte Semântico na Computação Ubíqua	XXXVI Conferência Latino-americana de Informática	Venecian, L. ; Rodrigues, S. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2010		Ciência do Contexto para Tarefas Clínicas em um Sistema de Saúde Pervasivo	XXXVI Conferência Latino-americana de Informática	MACHADO, A. ; VICENTINI, Caroline F. ; Librelotto, G. R. ; AUGUSTIN, I.	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2010		ARQUITETURA PERVASIVA PARA ENTRADA AUTOMÁTICA DE DADOS NO AMBIENTE CLÍNICO	XII Congresso Brasileiro de Informática na Saúde	RIZZETTI, Thiago Antionio ; AUGUSTIN, I.	B4	Congresso Brasileiro de Informática em Saúde
trabalhoCompletoEmCongresso	Iara Augustin	2010		DETECÇÃO DE ATIVIDADES CLÍNICAS A PARTIR DO HISTÓRICO DE EXECUÇÃO DO USUÁRIO	XII Congresso Brasileiro de Informática na Saúde	SOUZA, M. V. ; AUGUSTIN, I.	B4	Congresso Brasileiro de Informática em Saúde
trabalhoCompletoEmCongresso	Iara Augustin	2010		Revisando o Desenvolvimento de Aplicações na Medicina Ubíqua	ERAD 2010 - Forum de Pós-Graduação	Rodrigues, S. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	Qualis nao identificado	ERAD 2010 - Forum de Pós-Graduação
trabalhoCompletoEmCongresso	Iara Augustin	2010		Requisitos para Sistema de Auxílio às Atividades dos Profissionais de Saúde em um Ambiente Ubíquo	ERAD 2010 - Forum de Pós-Graduação	VICENTINI, Caroline F. ; AUGUSTIN, I.	Qualis nao identificado	ERAD 2010 - Forum de Pós-Graduação
trabalhoCompletoEmCongresso	Iara Augustin	2010		EXEHDA-SS: Uma Contribuição a Sensibilidade ao Contexto na Medicina Ubíqua	ERAD 2010 - Forum de Pós-Graduação	Venecian, L. ; LOPES, João Ladislau ; PALAZZO, L. A. M. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	Qualis nao identificado	ERAD 2010 - Forum de Pós-Graduação
trabalhoCompletoEmCongresso	Iara Augustin	2010		COMPARATIVO ENTRE PROJETOS DE INFRAESTRUTURA COMPUTACIONAL PERVASIVA PARA AMBIENTES CLÍNICOS	IX Simpósio de Informática da Região Centro-Oeste RS (SIRC)	KROTH, M. ; AUGUSTIN, I.	Qualis nao identificado	IX Simpósio de Informática da Região Centro-Oeste RS (SIRC)
trabalhoCompletoEmCongresso	Iara Augustin	2009		Middleware for management of end-user programming of clinical activities in a pervasive environment	on Middleware for Ubiquitous and Pervasive Systems (WMUPS)	FERREIRA, Giuliano Lopes ; LORENZI, Fabio ; Librelotto, G. R. ; AUGUSTIN, I.	Qualis nao identificado	on Middleware for Ubiquitous and Pervasive Systems (WMUPS)
trabalhoCompletoEmCongresso	Iara Augustin	2009		Introduzindo o Gerenciando de Tarefas Clínicas em um Middleware da Computação Pervasiva	Workshop em Informatica Medica	FERREIRA, Giuliano Lopes ; LORENZI, Fabio ; Librelotto, G. R. ; AUGUSTIN, I.	B4	Workshop de Informática Médica
trabalhoCompletoEmCongresso	Iara Augustin	2009		Requisitos de um Registro Eletrônico de Saúde Ubíquo	VIII Simpósio de Informática da Região Centro do RS	VICENTINI, Caroline F. ; MACHADO, A. ; Librelotto, G. R. ; AUGUSTIN, I.	Qualis nao identificado	VIII Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	Iara Augustin	2009		Ferramenta para a Programação pelo Usuário-Final de Tarefas Clínicas em um Ambiente de Saúde Ubíquo	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS	SILVA, Fábio Lorenzi da ; FERREIRA, Giuliano Lopes ; Librelotto, G. R. ; AUGUSTIN, I.	Qualis nao identificado	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS
trabalhoCompletoEmCongresso	Iara Augustin	2009		Uma Contribuição à Usabilidade da Sensibilidade ao Contexto na Computação Pervasiva	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS	LOPES, João Ladislau ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	Qualis nao identificado	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS
trabalhoCompletoEmCongresso	Iara Augustin	2009		Adaptando o Middleware EXEHDA para o Tratamento de Atividades Clínicas	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS	FERREIRA, Giuliano Lopes ; SILVA, Fábio Lorenzi da ; Librelotto, G. R. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	Qualis nao identificado	XXXV LATIN-AMERICAN CONFERENCE ON INFORMATICS
trabalhoCompletoEmCongresso	Iara Augustin	2009		A Definição de uma API para o Processamento de Ontologias em Hospitais Pervasivo	V Simpósio Brasileiro de Sistemas de Informação	Librelotto, G. R. ; GASSEN, J. B. ; FREITAS, L. ; SILVA, Fábio Lorenzi da ; AUGUSTIN, I.	B4	Simpósio Brasileiro de Sistemas de Informação
trabalhoCompletoEmCongresso	Iara Augustin	2009		Um Compilador para a Linguagem Reativa Síncrona Distribuída	SBLP - Co-located workshop LTPD 2009	Librelotto, G. R. ; VIZZOTTO, J. K. ; AUGUSTIN, I.	Qualis nao identificado	SBLP - Co-located workshop LTPD 2009
trabalhoCompletoEmCongresso	Iara Augustin	2009		Middleware for management of end-user programming of clinical activities in a pervasive environment	Workshop on Middleware to Pervasive and Ubiquitous Computing - co-locateed with COMSWARE	AUGUSTIN, I. ; SILVA, Fábio Lorenzi da ; FERREIRA, Giuliano Lopes ; Librelotto, G. R. ; YAMIN, Adenauer Correa	Qualis nao identificado	Workshop on Middleware to Pervasive and Ubiquitous Computing - co-locateed with COMSWARE
trabalhoCompletoEmCongresso	Iara Augustin	2009		Uma Arquitetura de Reserva Antecipada de Recursos Centrada no Usuário para Ambientes de Grades Móveis	8th International Information and Telecommunication Technologies Symposium	ROCHA, Cristiano Cortez da ; DANTAS, M. ; AUGUSTIN, I.	B4	Information and Telecommunication Technologies
trabalhoCompletoEmCongresso	Iara Augustin	2008		A Semantica Formal da Linguagem RS	Simposio Nacional de Linguagens de Programação	Librelotto, G. R. ; AUGUSTIN, I.	B3	Simpósio Brasileiro de Linguagens de Programação
trabalhoCompletoEmCongresso	Iara Augustin	2008		Geracao de Topic Maps Dirigidos por Ontologia para Computação Sensivel ao Contexto	Conferencia Iberica de Sistemas y Tecnologias de la Informacion	Librelotto, G. R. ; GASSEN, J. B. ; AUGUSTIN, I.	Qualis nao identificado	Conferencia Iberica de Sistemas y Tecnologias de la Informacion
trabalhoCompletoEmCongresso	Iara Augustin	2008		Uma Ontologia Aplicada a um Ambiente Pervasivo Hospitalar	8ª Conferência da Associação Portuguesa de Sistemas de Informação	Librelotto, G. R. ; GASSEN, J. B. ; SILVA, Fábio Lorenzi da ; AUGUSTIN, I. ; HENRIQUES, P. R.	Qualis nao identificado	8ª Conferência da Associação Portuguesa de Sistemas de Informação
trabalhoCompletoEmCongresso	Iara Augustin	2008		GERAÇÃO DE TOPIC MAPS DIRIGIDOS POR ONTOLOGIAS PARA A COMPUTAÇÃO SENSÍVEL AO CONTEXTO	3ª Conferencia Ibérica de Sistemas y Tecnologías de la Información	Librelotto, G. R. ; GASSEN, J. B. ; HENRIQUES, P. R. ; COPPETTI, M. ; FREITAS, L. ; AUGUSTIN, I.	Qualis nao identificado	3ª Conferencia Ibérica de Sistemas y Tecnologías de la Información
trabalhoCompletoEmCongresso	Iara Augustin	2007		Context-Aware Model in a Ubiquitous Learning Environment	Workshop on Pervasive Learning (Joint to PerCom 2007) - PerEL	Nino, C. P. ; MARQUES, J. ; SILVA, Luciano Cavalheiro da ; BARBOSA, Debora Nice Ferrari ; BARBOSA, Jorge V ; AUGUSTIN, I.	Qualis nao identificado	Workshop on Pervasive Learning (Joint to PerCom 2007) - PerEL
trabalhoCompletoEmCongresso	Iara Augustin	2007		Utilizando a Adaptação para permitir acesso a Arquivos em um Ambiente Pervasivo	XXXIII Conferencia Latinoamericana de Informática	FRAINER, Gustavo ; SILVA, Luciano Cavalheiro da ; GEYER, Cláudio F R ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2007		Towards Pervasive Applications in a Grid Computing Environment	XXXIII Conferencia Latinoamericana de Informática (CLEI 2007)	LOPES, João Ladislau ; YAMIN, Adenauer Correa ; AUGUSTIN, I. ; FRAINER, Gustavo ; SILVA, Luciano Cavalheiro ; GEYER, Cláudio F R	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2007		Projeto CONVERGE UFSM - Rede de Sensores-Atuadores para Controle de Acesso em Laboratórios Usando VoIP e Wireless	VI Simpósio de Informática da Região Centro/RS (SIRC)	ROCHA, Cristiano Cortez da ; OLIVEIRA, Rodolfo Leffa ; VIERA, Matheus Anversa ; AUGUSTIN, I. ; STEIN, Benhur Oliveira ; LIMA, João Carlos Damasceno	Qualis nao identificado	VI Simpósio de Informática da Região Centro/RS (SIRC)
trabalhoCompletoEmCongresso	Iara Augustin	2007		Utilizando Adaptação Consciente da Aplicação no Acesso a Arquivos em um Ambiente Pervasivo	VIII Workshop em Sistemas Computacionais de Alto Desempenho	FRAINER, Gustavo ; SILVA, Luciano Cavalheiro da ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio Resin	Qualis nao identificado	VIII Workshop em Sistemas Computacionais de Alto Desempenho
trabalhoCompletoEmCongresso	Iara Augustin	2007		Emprego de Código de Barras Bidimensionais para Conferência da Autenticidade de Certificados Digitais	VI Simpósio de Informática da Região Centro/RS	VICENTINI, Caroline F. ; AVELAR, Francisco Tiago ; LIMA, João Carlos Damasceno ; AUGUSTIN, I.	Qualis nao identificado	VI Simpósio de Informática da Região Centro/RS
